transcript_id,exon_count,length
MSTRG.277.1:1:1.940493,2,227
MSTRG.278.1:1:2.366694,3,592
MSTRG.279.1:1:1.839555,4,991
MSTRG.280.1:1:11.830642,6,685
MSTRG.281.1:1:13.273061,6,1437
MSTRG.282.1:1:8.523228,9,2724
MSTRG.282.2:1:6.711917,10,2650
MSTRG.282.3:1:3.076900,7,2832
MSTRG.282.4:1:1.031296,9,2712
MSTRG.283.1:1:39.967842,8,1593
MSTRG.284.1:1:4.226462,9,2913
MSTRG.284.2:1:2.360252,6,3766
MSTRG.284.3:1:1.916317,7,3176
MSTRG.285.1:1:18.076889,8,1680
MSTRG.286.1:1:2.853621,3,368
MSTRG.286.2:1:1.445390,3,222
MSTRG.287.1:1:1.745305,3,857
MSTRG.288.1:1:1.417172,3,274
MSTRG.289.1:1:2.474097,3,414
MSTRG.290.1:1:1.214158,2,322
MSTRG.291.1:1:3.838040,8,1240
MSTRG.292.1:1:2.045658,4,825
MSTRG.293.1:1:1.224057,4,409
MSTRG.294.1:1:11.514223,2,974
MSTRG.295.1:1:4.330982,4,718
MSTRG.295.2:1:1.729869,4,714
MSTRG.298.1:1:1.362258,2,374
MSTRG.300.1:1:1.391877,2,462
MSTRG.301.1:1:2.371113,3,357
MSTRG.302.1:1:1.631125,2,481
MSTRG.303.1:1:11.056138,5,1147
MSTRG.304.1:1:19.140388,2,535
MSTRG.304.2:1:1.288992,3,667
MSTRG.305.1:1:3.316402,3,519
MSTRG.305.2:1:0.979239,3,533
MSTRG.306.1:1:1.441994,2,238
MSTRG.308.1:1:4.237250,2,272
MSTRG.309.1:1:14.248338,4,986
MSTRG.310.1:1:1.639434,3,223
MSTRG.310.2:1:1.124627,3,218
MSTRG.311.1:1:0.884522,2,212
MSTRG.312.1:1:4.533584,3,330
MSTRG.312.2:1:2.033917,3,462
MSTRG.312.3:1:11.251100,3,421
MSTRG.312.4:1:6.671468,3,439
MSTRG.313.1:1:1.726635,2,292
MSTRG.314.1:1:1.608763,3,510
MSTRG.314.2:1:1.618213,2,584
MSTRG.315.1:1:22.985807,2,752
MSTRG.316.1:1:2.299162,4,891
MSTRG.317.1:1:1.817733,2,218
MSTRG.318.1:1:5.485517,6,2430
MSTRG.318.2:1:2.076519,4,2572
MSTRG.318.3:1:1.696701,5,2496
MSTRG.318.4:1:1.364251,6,2408
MSTRG.319.1:1:9.375326,2,584
MSTRG.320.1:1:4.467615,10,2118
MSTRG.320.2:1:10.295511,8,1545
MSTRG.321.1:1:95.649529,5,1047
MSTRG.321.2:1:69.090057,4,1141
MSTRG.322.1:1:4.870593,4,541
MSTRG.323.1:1:90.902756,6,1403
MSTRG.325.1:1:4.951989,2,568
MSTRG.325.2:1:2.130415,2,568
MSTRG.327.1:1:3.596925,5,1804
MSTRG.328.1:1:78.225540,3,785
MSTRG.329.1:1:81.007866,5,722
MSTRG.330.1:1:2.617046,4,540
MSTRG.330.2:1:9.528593,3,500
MSTRG.331.1:1:6.560082,5,1210
MSTRG.332.1:1:24.830584,8,1279
MSTRG.333.1:1:25.479082,3,1062
MSTRG.334.1:1:265.002197,4,1143
MSTRG.335.1:1:19.216129,7,1214
MSTRG.336.1:1:7.090083,12,2303
MSTRG.336.2:1:5.446168,13,2238
MSTRG.337.1:1:1.974601,4,568
MSTRG.338.1:1:8.108105,18,2556
MSTRG.338.2:1:3.672380,18,2569
MSTRG.339.1:1:9.246379,22,3142
MSTRG.340.1:1:22.053158,14,1702
MSTRG.340.2:1:9.725635,13,1780
MSTRG.341.1:1:3.472687,6,825
MSTRG.342.1:1:0.884522,2,205
MSTRG.343.1:1:3.806489,8,1249
MSTRG.344.1:1:4.841630,11,1815
MSTRG.344.2:1:3.410066,11,1802
MSTRG.345.1:1:43.534286,13,1712
MSTRG.347.1:1:11.355050,1,320
MSTRG.348.1:1:9.266708,3,1119
MSTRG.348.2:1:3.155391,3,387
MSTRG.349.1:1:266.928497,1,845
MSTRG.350.1:1:19.483166,6,915
MSTRG.351.1:1:1.379116,2,862
MSTRG.352.1:1:1.897196,5,987
MSTRG.353.1:1:3.390411,9,1725
MSTRG.355.1:1:2.250033,5,925
MSTRG.356.1:1:6.357939,4,883
MSTRG.357.1:1:7.075280,9,1977
MSTRG.359.1:1:1.450925,4,530
MSTRG.359.2:1:3.138177,3,441
MSTRG.360.1:1:3.736259,2,732
MSTRG.361.1:1:15.199327,4,664
MSTRG.362.1:1:10.183022,9,1784
MSTRG.362.2:1:5.891449,8,1851
MSTRG.363.1:1:89.723030,6,1779
MSTRG.363.2:1:32.593452,7,1667
MSTRG.363.3:1:156.840118,4,706
MSTRG.364.1:1:2.260259,4,432
MSTRG.364.2:1:2.289509,3,510
MSTRG.365.1:1:68.159386,3,501
MSTRG.366.1:1:46.907059,9,1243
MSTRG.367.1:1:35.161484,7,1018
MSTRG.368.1:1:3.385137,4,670
MSTRG.368.2:1:3.587054,3,722
MSTRG.368.3:1:3.260617,7,2292
MSTRG.368.4:1:11.482768,4,1415
MSTRG.369.1:1:12.152517,5,870
MSTRG.370.1:1:6.440359,12,2175
MSTRG.370.2:1:2.661184,12,2158
MSTRG.370.3:1:40.496902,8,1211
MSTRG.371.1:1:4.012678,7,1368
MSTRG.372.1:1:958.408508,3,686
MSTRG.373.1:1:10.627205,15,2343
MSTRG.373.2:1:4.198723,15,2567
MSTRG.373.3:1:1.544439,16,2394
MSTRG.373.4:1:1.451363,16,2434
MSTRG.373.5:1:23.255411,15,2441
MSTRG.374.1:1:35.455563,7,1664
MSTRG.375.1:1:47.579224,9,1791
MSTRG.376.1:1:98.657196,4,402
MSTRG.377.1:1:10.421516,6,4277
MSTRG.379.1:1:3.280252,6,690
MSTRG.379.2:1:1.277353,7,596
MSTRG.379.3:1:1.782887,6,667
MSTRG.381.1:1:6.464060,3,552
MSTRG.382.1:1:41.785267,6,1006
MSTRG.382.2:1:1.061644,6,999
MSTRG.383.1:1:6.392928,9,1626
MSTRG.384.1:1:4.244082,3,436
MSTRG.385.1:1:7.356313,2,605
MSTRG.385.2:1:3.105581,3,398
MSTRG.386.1:1:40.177261,2,1214
MSTRG.387.1:1:5.256600,6,1750
MSTRG.387.2:1:3.620677,7,1649
MSTRG.388.1:1:3.290450,3,1243
MSTRG.389.1:1:134.108459,6,1574
MSTRG.390.1:1:94.428223,5,923
MSTRG.391.1:1:38.141907,2,642
MSTRG.392.1:1:8.879467,5,1343
MSTRG.393.1:1:7.750238,3,953
MSTRG.393.2:1:4.708079,4,873
MSTRG.394.1:1:12.808317,9,1671
MSTRG.394.2:1:4.883237,8,1738
MSTRG.395.1:1:39.983650,4,583
MSTRG.395.2:1:2.337507,4,580
MSTRG.396.1:1:0.884522,3,280
MSTRG.397.1:1:15.441600,2,542
MSTRG.398.1:1:5.380601,10,2318
MSTRG.398.2:1:2.239846,10,2323
MSTRG.399.1:1:10.612967,12,3070
MSTRG.400.1:1:8.882860,10,2379
MSTRG.400.2:1:7.154511,10,2504
MSTRG.401.1:1:2.416664,5,767
MSTRG.401.2:1:2.782795,5,982
MSTRG.401.3:1:1.525571,4,1526
MSTRG.402.1:1:5.667805,10,1608
MSTRG.403.1:1:11.749161,8,3424
MSTRG.403.2:1:23.968704,4,1099
MSTRG.404.1:1:6.236766,5,909
MSTRG.404.2:1:2.716468,5,923
MSTRG.405.1:1:2.257348,4,1800
MSTRG.405.2:1:26.431318,4,1108
MSTRG.407.1:1:1.769044,2,213
MSTRG.408.1:1:1.243969,2,502
MSTRG.409.1:1:15.998758,2,343
MSTRG.410.1:1:1.607283,3,257
MSTRG.411.1:1:1.054739,4,291
MSTRG.412.1:1:3.806494,2,290
MSTRG.413.1:1:8.721443,6,929
MSTRG.414.1:1:19.511303,5,990
MSTRG.415.1:1:212.752762,4,648
MSTRG.416.1:1:1.717863,2,674
MSTRG.417.1:1:30.602951,4,1058
MSTRG.418.1:1:1.411368,2,366
MSTRG.419.1:1:2.251511,2,231
MSTRG.420.1:1:2.049188,5,548
MSTRG.420.2:1:3.677705,3,706
MSTRG.421.1:1:2.555286,2,504
MSTRG.422.1:1:4.609209,3,1332
MSTRG.423.1:1:1.317481,2,523
MSTRG.424.1:1:24.278681,14,1530
MSTRG.425.1:1:2.644383,3,289
MSTRG.426.1:1:0.884522,2,263
MSTRG.427.1:1:1.260562,3,374
MSTRG.429.1:1:9.444942,2,323
MSTRG.430.1:1:7.375289,2,207
MSTRG.431.1:1:6.969624,2,606
MSTRG.433.1:1:0.884522,3,272
MSTRG.434.1:1:2.008705,2,358
MSTRG.435.1:1:10.357240,22,2526
MSTRG.436.1:1:2.028011,2,263
MSTRG.437.1:1:4.597845,2,318
MSTRG.438.1:1:1.296744,6,718
MSTRG.438.2:1:8.132096,5,756
MSTRG.438.3:1:1.069804,5,854
MSTRG.439.1:1:9.527305,2,1171
MSTRG.440.1:1:15.263464,9,2701
MSTRG.440.2:1:8.682266,8,2758
MSTRG.440.3:1:2.566263,7,2825
MSTRG.441.1:1:3.102747,3,703
MSTRG.442.1:1:7.002303,4,1786
MSTRG.442.2:1:313.177155,3,708
MSTRG.443.1:1:1.533628,2,387
MSTRG.444.1:1:1.040863,2,628
MSTRG.445.1:1:1.464813,3,314
MSTRG.446.1:1:7.274178,3,545
MSTRG.447.1:1:8.537325,4,1807
MSTRG.448.1:1:10.268288,3,271
MSTRG.449.1:1:0.884522,2,215
MSTRG.450.1:1:2.149450,2,286
MSTRG.451.1:1:23.774279,6,763
MSTRG.452.1:1:2.547846,2,251
MSTRG.454.1:1:1.454292,8,770
MSTRG.455.1:1:38.085144,3,512
MSTRG.455.2:1:24.806707,2,610
MSTRG.456.1:1:2.124775,2,368
MSTRG.457.1:1:11.318488,5,991
MSTRG.458.1:1:7.424175,10,1614
MSTRG.459.1:1:5.589711,4,1058
MSTRG.463.1:1:9.802012,5,1184
MSTRG.463.2:1:1.257791,2,439
MSTRG.464.1:1:2.637872,2,620
MSTRG.466.1:1:76.660210,2,537
MSTRG.467.1:1:1.755223,2,256
MSTRG.468.1:1:3.504168,2,339
MSTRG.469.1:1:86.723282,2,639
MSTRG.470.1:1:9.543016,4,1189
MSTRG.471.1:1:3.103916,2,328
MSTRG.472.1:1:87.890434,2,644
MSTRG.473.1:1:61.246849,2,704
MSTRG.474.1:1:34.876827,2,816
MSTRG.475.1:1:11.741385,2,824
MSTRG.476.1:1:19.593149,3,761
MSTRG.477.1:1:2.270461,2,628
MSTRG.478.1:1:4.977072,8,2838
MSTRG.479.1:1:10.046968,10,1001
MSTRG.480.1:1:2.366661,8,743
MSTRG.481.1:1:5.130913,7,773
MSTRG.482.1:1:1.461196,2,204
MSTRG.483.1:1:9.740148,3,1105
MSTRG.484.1:1:20.838806,3,1877
MSTRG.485.1:1:1.328252,3,301
MSTRG.488.1:1:84.992020,3,613
MSTRG.489.1:1:8.325738,4,567
MSTRG.490.1:1:10.401509,7,1872
MSTRG.490.2:1:2.425785,3,2092
MSTRG.491.1:1:41.965408,3,815
MSTRG.492.1:1:4.091489,4,1154
MSTRG.493.1:1:6.094162,2,499
MSTRG.494.1:1:5.301814,2,499
MSTRG.497.1:1:6.775096,6,1202
MSTRG.497.2:1:83.439682,4,799
MSTRG.498.1:1:9.788974,10,2225
MSTRG.499.1:1:13.585991,4,1002
MSTRG.499.2:1:2.137730,3,1069
MSTRG.500.1:1:17.461859,5,1751
MSTRG.501.1:1:4.890385,2,208
MSTRG.503.1:1:5.702343,2,1034
MSTRG.504.1:1:15.381933,4,1075
MSTRG.504.2:1:1.827577,3,1158
MSTRG.505.1:1:9.915440,9,1710
MSTRG.506.1:1:109.140816,9,1977
MSTRG.506.2:1:7.821139,10,1992
MSTRG.507.1:1:3.185502,9,1836
MSTRG.507.2:1:1.837033,8,1905
MSTRG.507.3:1:2.378719,5,668
MSTRG.508.1:1:73.484421,3,832
MSTRG.509.1:1:9.881428,7,933
MSTRG.510.1:1:16.574610,5,891
MSTRG.511.1:1:16.880091,4,1109
MSTRG.512.1:1:22.592680,10,2213
MSTRG.513.1:1:24.823616,6,1125
MSTRG.514.1:1:27.424820,5,1048
MSTRG.514.2:1:23.938545,4,1747
MSTRG.515.1:1:1.266542,2,301
MSTRG.516.1:1:1.492881,2,221
MSTRG.517.1:1:3.071085,4,1430
MSTRG.518.1:1:6.417182,4,553
MSTRG.519.1:1:3.152115,3,880
MSTRG.520.1:1:17.077709,6,1292
MSTRG.521.1:1:22.891592,4,907
MSTRG.521.2:1:5.299348,3,1060
MSTRG.522.1:1:1.953429,7,1512
MSTRG.522.2:1:1.753290,5,2481
MSTRG.524.1:1:2.994086,2,213
MSTRG.525.1:1:2.587114,3,985
MSTRG.526.1:1:4.327578,2,605
MSTRG.527.1:1:162.953064,3,1012
MSTRG.528.1:1:178.506943,4,534
MSTRG.529.1:1:30.440630,8,1948
MSTRG.530.1:1:11.873866,4,948
MSTRG.531.1:1:16.846184,5,948
MSTRG.531.2:1:2.126848,7,740
MSTRG.532.1:1:37.673943,5,3264
MSTRG.532.2:1:4.133640,3,3507
MSTRG.533.1:1:10.674871,2,467
MSTRG.534.1:1:1.769044,2,205
MSTRG.535.1:1:1.395828,2,237
MSTRG.536.1:1:2.392472,3,332
MSTRG.537.1:1:1.780288,2,472
MSTRG.539.1:1:16.794672,5,708
MSTRG.541.1:1:14.932775,4,1436
MSTRG.542.1:1:1.498894,2,203
MSTRG.544.1:1:2.904229,3,307
MSTRG.545.1:1:1.414925,11,1354
MSTRG.545.2:1:17.981588,11,1261
MSTRG.546.1:1:42.302189,3,634
MSTRG.547.1:1:2.484466,2,272
MSTRG.548.1:1:1.926387,2,208
MSTRG.549.1:1:2.676325,4,997
MSTRG.549.2:1:18.156412,3,635
MSTRG.549.3:1:3.072157,2,754
MSTRG.550.1:1:1.714778,3,326
MSTRG.551.1:1:2.675524,8,2359
MSTRG.551.2:1:23.414370,6,1774
MSTRG.552.1:1:1.425765,3,420
MSTRG.554.1:1:7.597578,3,570
MSTRG.555.1:1:4.098285,2,330
MSTRG.556.1:1:4.143286,4,551
MSTRG.557.1:1:2.637241,2,596
MSTRG.558.1:1:34.746891,2,579
MSTRG.559.1:1:100.577614,4,906
MSTRG.560.1:1:1384.774414,1,306
MSTRG.561.1:1:38.422199,4,930
MSTRG.561.2:1:12.741780,4,924
MSTRG.561.3:1:8.667049,3,1237
MSTRG.562.1:1:0.884522,2,234
MSTRG.563.1:1:1.307434,2,320
MSTRG.564.1:1:2.462005,2,688
MSTRG.565.1:1:5.904353,6,1497
MSTRG.565.2:1:1.843688,5,1567
MSTRG.566.1:1:18.989254,3,933
MSTRG.567.1:1:5.003996,3,391
MSTRG.568.1:1:2.403435,2,244
MSTRG.570.1:1:3.599281,4,477
MSTRG.571.1:1:4.709022,7,1983
MSTRG.571.2:1:2.106921,6,1827
MSTRG.572.1:1:34.967587,4,916
MSTRG.573.1:1:15.975752,16,2571
MSTRG.574.1:1:8.755544,4,500
MSTRG.575.1:1:108.758392,3,468
MSTRG.576.1:1:76.015274,5,1056
MSTRG.577.1:1:22.285328,7,688
MSTRG.577.2:1:5.621793,7,1558
MSTRG.578.1:1:0.884522,2,231
MSTRG.579.1:1:29.323505,4,459
MSTRG.579.2:1:3.237476,4,411
MSTRG.580.1:1:1.630932,5,1172
MSTRG.581.1:1:21.870167,5,854
MSTRG.582.1:1:4.290735,2,275
MSTRG.583.1:1:19.086060,2,469
MSTRG.584.1:1:1.308223,5,977
MSTRG.586.1:1:37.949703,8,2177
MSTRG.586.2:1:26.332878,9,2087
MSTRG.587.1:1:0.915618,4,512
MSTRG.588.1:1:5.242094,6,340
MSTRG.589.1:1:6.558197,3,514
MSTRG.590.1:1:17.747326,5,1381
